Text_index;;texte
166353_tweet.txt;;cava commence à lâcher des les bucks joue mieux sans giannis 
158768_tweet.txt;;sur ma liste de bougs à jamais faire chier y a papacito dans le top 
262854_tweet.txt;;vous etes dur avec lalbum de kaaris wsh arretez de sucer bo  bon ok cest pas lalbum de année mais il est bien   valhalla 
146690_tweet.txt;;mdr alexander arnold révolutionne le poste de latéral droit les journalistesconsultants en france est vraiment quelque chose 
25564_tweet.txt;;ma tl de gauche a pas prévenu que soral a été arrêté vous décevez la mif
31596_tweet.txt;;mdrr est pas ad la menace n oubliez pas ce que lebron peux faire avec des zgeg à coté de lui
113098_tweet.txt;;est une expression merci jasmine mdr il a supprimé sûrement dès que tootatis a vus la story et elle a dit de supprimer mais je me rapelle il avais grave supprimé car beaucoup de gens était choqué mdr et est pas la er fois qui mets une vidéo elle sans faire exprès 
110262_tweet.txt;;lena et seb ils sont si mignons je hurle
46289_tweet.txt;;perso ça me ferais chier  ne pas pouvoir respirer air pur  la mer tranquille juste parce-on nous obligera à en porter   la plage  simplement parce-on vous demande en porter  en ville dans les magasins ect 
56514_tweet.txt;;ne-yo le bois matin midi soir surtout que mario a part let me love you y a rien à débattre 
156147_tweet.txt;;les stmg sont en tt et bah je ris toute seule sur tous les tweets depuis talheur
256702_tweet.txt;;faut aussi se dire aliexpress sont rois de la contrefacon mdr 
123504_tweet.txt;;suis dégoûté pour marc hirschi
125025_tweet.txt;;beaucoup de gauchiasses reprochent au puy du fou de donner une bonne image de histoire de france quand eux voudraient nous en dresser un tableau très sombre les-heures-les-plus-sombres-de-notre-histoire la colonisation où paraît-il tout était négatif toussa toussa
42527_tweet.txt;;c est pas une petite merde de plenel  
205820_tweet.txt;;ai pleuré parce que je pensais à mon ex   désolé si tu vois ça 
5161_tweet.txt;;moi était zaza mimosa étais trop deg de savoir que cetait plus publié 
138267_tweet.txt;;acheter moi le mario d all star svp est bientôt mon annive la
186750_tweet.txt;;en vrai les gars apres avoir vu la vidéo de hassan ils doivent être devenu paranoforce on est pas toutes comme ça
52245_tweet.txt;;tu y connais rien toi ment bien stp je sais je parle de quoi les s en chien quand ils demandent du travails face à des stmg des trou du cul comme vous dites
189701_tweet.txt;;elle est en manque de fric la zoz sûrement a force de acheter des abonnés   
262169_tweet.txt;;genre vraiment te gênes pas pour insulter leur ancêtres tout cassé
167495_tweet.txt;;on a notre match face à sochaux tkt lol
65531_tweet.txt;;mdrrr image était parfaite mais en vrai je suis tellement choqué ai pas les mots bb top  des meilleurs séries de ce siècle est un veritable affront que tu lui fais là
198218_tweet.txt;;demain si je me réveille je veux la bande annonce des wesh est abuséla depuis on attend vous voulez le vendre ou quoi 
164784_tweet.txt;;dommage le feat bosh kaaris il est court
167521_tweet.txt;;et encore bordeaux ils sont fait meilleur eux contre le bayern et la juve sachant ils avaient gourcuff 
187061_tweet.txt;;bedene a fait pareil à cincinnati il a rien eu est juste pcq est djoko
115640_tweet.txt;;votre maillot extérieur est plutôt beau bien que marron et blanc est bof vos couleurs
61490_tweet.txt;;je voulais grave commander les t-shirt de léna mais ils livrent pas en suisse 
104416_tweet.txt;;y vais avec un aspect musical y connais rien donc ça sera silhouette préfère
166846_tweet.txt;;bah ai vu ça jsplus ou wejdene a  feuneu  et le reste bah la maison de disque ou jsp
33711_tweet.txt;;vous pouvez pas savoir à quel point je aime ptn tellement tellement fort 
214738_tweet.txt;;pense à niquer ta mère à occasion quand même thierry
84074_tweet.txt;;ai fai de la merde mais avance est confortable 
202154_tweet.txt;;elle regardait même pas djoko elle était dans les vapes
42683_tweet.txt;;tjrs autant de classe notre golden maknae  quel plaisir en sah de avoir dans nos vies 
229446_tweet.txt;;selena gomez a déjà  ans wsh quand étais petite je fêtais  presque son anniv avec elle  une ancienne selenator qui parle
251112_tweet.txt;;ah ouais hassan il est trop fort il ai a enterrés 
98399_tweet.txt;;on est accord que là on se fait dominer par brest  a promet contre inter et le bayern   allez ooooh 
37525_tweet.txt;;franchement étais la lai vu tenir le maillot
241445_tweet.txt;;plus un tour sainz affamé  
103356_tweet.txt;;somi  ma puce le son a aucune saveur  mais le mv est troop trop beau par contre
268121_tweet.txt;;et tu fais cette exo en premier puis tu rajoute deux exo du même muscle c tt et arrêter as séance et pour lexo principal tu laisse entre -min de repos et les répétitions entre - max
63454_tweet.txt;;seul club qui rassemble des millions de supporters sur des continent différents pour un match contre brest ptn que jtm 
154477_tweet.txt;;lol ça me fait penser à un célèbre groupe musical que je devais voir ya deux semaines bah toi es archi chouette en plus le truc que tu viens de créer pour les personnes trans est vraiment bien espère on pourra visiter chambord ensemble bg
240193_tweet.txt;;par conte partagé pas des photos ou vidéos entrain de decapiter animal svp ui sensible
64616_tweet.txt;;a moyen même le corona il a chaud du jeux des problèmes de cette année 
268227_tweet.txt;;leris luketo il a lâché une bombe et il est parti comme ça 
23289_tweet.txt;;est la version deluxe de autre son elle a juste rajouté une partie oklm
25978_tweet.txt;;mdrrr il vient de sous entendre que ademo vend encore 
163275_tweet.txt;;je pense pas que je paniquais aurais juste bien le seum
192824_tweet.txt;;ai eu le livre de lady gaga la banque images et album the fame hui mdr ai envie exploser dans ma chambre
232999_tweet.txt;;dribble ces n comme gaucho  gaddam ils sont faible comme sochaux
29269_tweet.txt;;fuck le bus ai opté pour un audi rue de rivoli
56768_tweet.txt;;et ces bucks horrible a commencer par leur leader et leur coach
48555_tweet.txt;;mon dieu en min houston est fait salement enchaîner à pts en même temps ils font des prises à deux pas forcément utiles et pas maîtrisées comprends pas fin du er qt - lakers
258932_tweet.txt;;mais aller bebou explique moi est ce qui va pas et pk tu parle de reconversion avc tony parker
133124_tweet.txt;;wsh les bucks ils ont meme pas de shooter en fait importe quoi ai seum putain
256583_tweet.txt;;et  annus  horribilis    vous vois là  honni annus soit qui mal y pense 
198290_tweet.txt;;il se passe quoi avec tes gars là 
242438_tweet.txt;;mélissa et laurie ont cru le theme etais etre la  grosse connasse de la semaine ou quoi lol 
188068_tweet.txt;;putain entendre intro des vlog août de lena situations était le moment ou ai étais la plus heureuse de ma journée 
51079_tweet.txt;;non justement les particules aeroporté sont de  micron aucun masque mise à part les demi masque avec filtre latéral son utile vraiment vous dites importe quoi portée votre masque en cotonon en reparleras dans qque semaines quand votre système immunitaire sera affaiblie
152597_tweet.txt;;pense pas ai lu que ses robes étaient de mauvaise qualité et  viscose ce qui est une particularité des fringues aliexpress mdr si effectivement rouje était une marque prestigieuse qui se faisait copier ça serait pas du tissu bas de gamme à mon avis
13842_tweet.txt;;westbrook il a fumé la meuf de lebron est obligé pour avoir une tel violence 
237762_tweet.txt;;après tetre je vis dans un anime et tous les personnages secondaires se ressemblent et c juste des silhouette crari on sait pas hein
59326_tweet.txt;;a va il a été chatteux avec son shoot - lakers
240098_tweet.txt;;a que sanson et kamara qui sont au niveau du bayern la
47261_tweet.txt;;jss pas fan de album de kaaris dommage
80899_tweet.txt;;hey vous voulez des  baisez vos putains de races vous les mettez même pas  filez argent aux hôpitaux plutôt
267219_tweet.txt;;la définition du culot 
258098_tweet.txt;;je vous signale ce compte   ce bouffon il pense être utile à la société mdrr go le signaler 
9844_tweet.txt;;éclate des armées arabes pour pas être exterminé par le hezbollah tu aimes le sang juif qui coule   la paix elle se gagne par les armes sauf dans ton monde de bisounours israël est notre etat souverain  il y aura la guerre perpétuelle  face a une menace perpétuelle
41182_tweet.txt;;soral extrême droite la blague  mes soutient à lui les journalope gouvernementale gauchiste ont vous emmerde royalement 
185037_tweet.txt;;non as pas compris est djoko qui a pleuré min pour tenter de faire annuler la disqualification qui était déjà décidée et annoncée
167474_tweet.txt;;homme est capable envoyer des gens explorer mars mais moi suis pas capable de trouver la personne qui me convient mais trql je perds pas espoir elle est peut-être sur mars   
196700_tweet.txt;;les lakers vont fumer les rockets en demi de conf es pour houston toi 
194175_tweet.txt;;moi  lundi a  les gens relous  va plutôt lire un livre  moi  
136866_tweet.txt;;jure y a une punch sur lui dans le colors
175912_tweet.txt;;il est magnifique le maillot frérot
75469_tweet.txt;;une guadeloupéene ou rien  
110485_tweet.txt;;a pas le maillot es con ou quoi 
100438_tweet.txt;;oh putain quelle saoule la cristinaun coup trop branché un coup pas assez ailleurs qui a décrété que était elle la reine de la mode  
187188_tweet.txt;;david luiz est fini il en peu plus
95987_tweet.txt;;en plus jcrois dans interview ça a été dit que sabo dans affiche des  ans était pour promouvoir une figurine juste donc tranquille
130655_tweet.txt;;lady gaga elle a des bleus de ouf sur les genoux en répétant rain on me imagine même pas ceux de bangtan pour on 
113728_tweet.txt;;est le vasy lui des signes astro je crois
3627_tweet.txt;;trop le bon bail faut quand je viens chez toi on fais rage les condes
61028_tweet.txt;;le teaser de wejdene ai vu que des gars le partager
18741_tweet.txt;;ils se surpassent dans la hainela provocation et la bêtise les tarés  eelv depuis leur mini succès aux municipales maire de vichy alice coffintraoré juifs
181580_tweet.txt;;pk les lakers laissent à chaque fois des game manfacepalmingmedium-darkskintonemanfacepalmingmedium-darkskintonemanfacepalmingmedium-darkskintone
98072_tweet.txt;;oe en tt j ai eu environ  mentions pour ca mais jmen balec jles coco pas et jleur ai retournee le truc
186455_tweet.txt;;mais il est cuit est ce il nous fait pierre palmade 
123959_tweet.txt;;bon je vois est la tendance donc je vais faire pareil du coup sa date de  ans espère tu ne passera pas par la bref déjà est rare je capte un mec mais bon ai fais exception du coup en message drôle sympa tout sa on se donne rdv à la gare de villiers suite
158020_tweet.txt;;les enqueteurs et les témoins directs dont les amis axelle le groupe a déjà commencé a attaqué autre viture parce que devine quoi et as du mal a le comprendre et beaucoup autre quand ils se comportent comme des merdes dedans une voiture est fragile 
39186_tweet.txt;;euh kaaris feat bosh est sérieux ingé son il est toujours en vie 
47334_tweet.txt;;bon bah on va commencer a écouter du freeze le colors show était lourd
234499_tweet.txt;;bah est chelou vite fait mais aurais fait perso on est pas à ça près mdr
121360_tweet.txt;;je jure que si hamilton prend pas un stopgo de s je vais spam tout les tweets de la f de mercedes et de la fia à la fin de ma vie
38441_tweet.txt;;ai raté la perfo de ari et lady gaga mais bon elle avait pas air ouf et ai vu bts et abel et ça est le principal 
84263_tweet.txt;;askip rihanna à  ans elle était moche mais quand tu demande leurs ref en beauté à  ans il te parle de kim kardashian 
165646_tweet.txt;;ça me vnr est sur a de la marmotte dans mes gênes
59186_tweet.txt;;ils vont faire une drôle de tronche les aliens quand ils vont débarquer et nous voir avec nos masques  
195413_tweet.txt;;es provocante pour ton âge ah ok donc je peux me mettre en maillot et faire une photo à  ans  alalalala les femmes ces vicieuses à critiquer
185725_tweet.txt;;sur cette planète a de gens ils sont sincèrement fan de westbrook bah ptn
244232_tweet.txt;;lena situation et seb ils sont trop précieux guillaume who vraiment
170346_tweet.txt;;ils sont vraiment trop mignons léna et seb 
37179_tweet.txt;;attend mais landorly il est au courant que leris est pas son frère  pcq sinon c chaud de lui annoncer il va croire est un prank
115806_tweet.txt;;ah vraiment est dommage aurais préféré okc  les lakers ils vont amuser
72181_tweet.txt;;ptdr vendredi  degrés si est pas pour mourir est pq srx
37682_tweet.txt;;go flop mais avec le smile  
144200_tweet.txt;;tu préfères lui que moi wsh
231662_tweet.txt;;votez cha la head cha la il mérite  fois plus de gagner que silhouette même si je aime beaucoup aussi
214447_tweet.txt;;le compte tootatisfake le trouve super ridicule la personne elle piste a mort tootatis trouves les fails fais des montages pour prouver elle photoshop est ridicule
118098_tweet.txt;;putain  on finit la semaine en beauté  niveau baltringues et conneries on est au top facescreaminginfearfacescreaminginfearggrmc 
44866_tweet.txt;;brest est surprenant gg om
122796_tweet.txt;;genre les gens disent que adele fait de appropriation culturel pour un haut de maillot  mdrrrr
245276_tweet.txt;;semaine prochaine si ai pas trouver de maillot de bain me tuz
127112_tweet.txt;;westbrook es un paquete
70553_tweet.txt;;jla connais déjà cette meuf
59280_tweet.txt;;chu pas loin de béziers  jconnais la chanson tkt  haha est moi ai forcé avec huile de bronzage 
59116_tweet.txt;;mdr il tape city et liverpool et la ça bégaye contre aston villa
52012_tweet.txt;;déjà tootatis en pp normalement on rep mm pas
126125_tweet.txt;;me faisait chier ducoup ai fait une fake pochette album parce que avais que ça à fouttre et que trouvait que la photo rendait bien  ptdr jvou vends leu design pour  veun dem sivouzet tairss  
142595_tweet.txt;;je sais pas tu trash les bucks comme si ils venaient de finir dernier de conf et surtout middleton qui vient de sortir un match de fou malade alors que tu es fan des knicks  du coup middleton ce soir all-star   retourne regarder du foot le manque de qi est un problème en nba
265070_tweet.txt;;est trop grave cmnt on la enterré trop vite quand il est arrivé mtn il est top  meilleur gardien europe
66872_tweet.txt;;en vrai sa serais kiffant que sabo debarque en plein millieu de la bataille là ou son frere est en position de faiblesse et la bam sabo apparaît
199411_tweet.txt;;avant de faire amour faite un truc jvous jure ça rajoute trop qlq chose intense c trop hella ça appel le mariage faite et dite moi si vs avez kiffer
110764_tweet.txt;;ils me dégoûtent les bucks putain  chaque fois ça se relâche puis miami a toujours une réponse
166374_tweet.txt;;apparemment en rdc le tribalisme est le fait un kasaien apporte son soutien à un autre kasaien pour les autres est normal  to sosola
111899_tweet.txt;;tin hamilton il galère là les merco ont pas habitude
144498_tweet.txt;;et encore on a pas vu la limite de sa force de frappe mdr il a os little oz au calme et était le second de dragon pendant toute la croissance de sabo au minimum mdrrr bcp trop sous côté
15301_tweet.txt;;hirschi le crack pcm sûr il en claque une sur ce tour
105033_tweet.txt;;aaaah ok je pensais que était un bonhomme de neige qui avait pris vite suite à un éclair ou qqchose du genre je pardonne alors il a sucé des mister freeze au dégivrant je respecte
261449_tweet.txt;;degres a paris vendredi  on est ou la  au mali  vais mourrir de cho
144248_tweet.txt;;les meufs oubliez jamais que choisir un fan arsenal est choisir la fidélité 
127384_tweet.txt;;vendredi c en france heureusement me casse et puis quoi encore 
244343_tweet.txt;;il est cramé giannis ou est moi
35950_tweet.txt;;il critique gabriella wilson alors il écoute selena gomez mais okayyyy 
210233_tweet.txt;;je stress tellement pour cette rentrée mdr 
132997_tweet.txt;;rt si tu veux que te rajoute 
260191_tweet.txt;;ce qui me fait mal dans histoire on va peut être le voir un jour dans un maillot 
131225_tweet.txt;;laisse ça pour les ptit au mariage wsh
42393_tweet.txt;;prend des bonnes foteau
150730_tweet.txt;;est débat meneur en ce moment ils tombent tous  pr contre  qui pensent que kidd est devant payton juste par rapport à la hype bah il a raison est ailleurs pourquoi westbrook est - places nash paul ou tp
259304_tweet.txt;;ben ils sont intéressants mais profond jsp hein aller peut-être ryo fui à la rigueur nan mais as bien fait est bien des fois de donner son avis
22117_tweet.txt;;on va le crever au gros  et à pijul aussi et à la s si il est la aussi bref mission culculrouge hui 
154430_tweet.txt;;le consulat chinois de houston brule des dossiers avant de quitter les lieux  hahaha on se dmd pq
233334_tweet.txt;;lepen spinning à fond pour la rentrée  
117018_tweet.txt;;donc leris luketo le petit fr c pas son frère c son fils wah choqué
194363_tweet.txt;;maroua elle se rend compte que ce elle fait est contraire à notre religion  franchement ça me dégoute  kihou a air hyper touché  je la comprend on touche pas à la famille  espère elle répondra en vidéos avec toutes les preuves 
3004_tweet.txt;;aime bien le feat entre kaaris et imen es  bah ouais
171138_tweet.txt;;dépitée roubaix et euralille ai rien acheté
200160_tweet.txt;;ai fini hxh et espère bien aura une suite ils peuvent pas nous laisser sur cette fin wsh
218858_tweet.txt;;toi aussi tu cherches des passionnés aussi les mecs pour eux est leur darons leonardo 
145301_tweet.txt;;brest ça joue mieux que nous mdr
174432_tweet.txt;;va supporter sochaux parle pas avec moi ai pas vu que giroud avait marqué bcp de buts sur la chaîne de bizbiz donc il est nul
31858_tweet.txt;;norme match je pense que lui il aime le club comme bard ou a l époque lacazette tolisso fekir
258696_tweet.txt;;ptdrrrr carl est grave moi pendant une embrouille  
35011_tweet.txt;;yéti bande de fou 
236641_tweet.txt;;mais mister freeze est la marque 
238965_tweet.txt;;ils luttent pour la subventionça fini pareil
134707_tweet.txt;;les bucks sont plus chaud sans giannis est trop
266913_tweet.txt;;adama traoré était donc un violeur en  un délinquant récidiviste cependant il ne faut pas perdre de vue que ça reste une violence policière aucun lien avec le viol je vais pas pleurer cette ordure mais les policiers ne sont pas censés appliquer la peine de mort en france 
48758_tweet.txt;;on dirait le corps de tootatis omg 
220692_tweet.txt;;en rigole parce que tous mes profs voulaient envoyer en es et s et au final je les ai tous envoyés balader en choisissant stmg et je le regretterai jamais
174339_tweet.txt;;oui les bucks ont foiré cette série mais y a des circonstances atténuantes pas comme les warriors du -
46635_tweet.txt;;p t d r vous suez face à brest wesh sois réaliste 
154432_tweet.txt;;westbrook je pense à toi espèce de sous merde
160093_tweet.txt;;ah ouais je serais grand-père mdr
181973_tweet.txt;;popopopoooow ce but des lyonnaises 
138298_tweet.txt;;bonne nuit  courage à ceux qui font leur rentrée demain   jen fait partie  bisous je vous aimes army     
102313_tweet.txt;;est grave son cas de pire en pire est  jours avant le premier tour de la  avec un rythme minimum une connerie par jour ça promet  
61159_tweet.txt;;vsy conte il représentait grave bien inter en plus
219731_tweet.txt;;ai vu la vidéo hassan et zéro pub héhé
195576_tweet.txt;;rholala est vraiment grave a quelle point les commu mangaanime elle sont toxiques
92544_tweet.txt;;une bonne preuve mdrr
211755_tweet.txt;;mdrrr il va lâcher rien à changé raf de la shoah  le directeur de la prod il va serrer sa torah
188729_tweet.txt;;les homophobes ils sont tous moches et ça est un fact 
102204_tweet.txt;;adama traore etait une ordure
111278_tweet.txt;;les martiniquais font le tafffff 
32966_tweet.txt;;a part doncic aucun à le même potentiel que giannis faite pas genre maintenant
154671_tweet.txt;;il éduque sanson es un fou toi mdr
235272_tweet.txt;;abuse pour melly un peu pas de tout les temps par contre de sa génération top  des meilleurs et young boy est environs  ième
23992_tweet.txt;;wine mon culte et la bière mariage celui de ma cousine ouf  money jvais gagner au loto 
54043_tweet.txt;;le frérot sabo 
12952_tweet.txt;;sérieux cristina a des goûts de ch parfois  
91126_tweet.txt;;non non à  ans c juste pas possible de parler ainsi j croyais elle avait  ans plus les fautes elles avaient tous  etc etc   
142159_tweet.txt;;aller hop est plier on passe à brest vs om  merci à wolfsburg avoir servi de sparring- partenaire pour cet finale
123320_tweet.txt;;le cm aorus en position g pa lu latéral de sécurité 
143317_tweet.txt;;mais omg mes copines a pas mieux elles
19128_tweet.txt;;faut que ca gagne et que chelsea se fasse taper par liverpool comme ca on remonte e  
180259_tweet.txt;;oui psk est du foutage de gueule le truc wsh
78246_tweet.txt;;dans  semaine chuis en suède mdrrrr rien est prêt est la panik
227645_tweet.txt;;butter wine friend je vais taper un pique nique
48499_tweet.txt;;les mecs leurs mensonges préférés est je suis pas comme les autres tu verras je suis différent je te ferais pas de mal
196493_tweet.txt;;ptdrrrrr le joueur de brest il fait le signe jul alors qil sappelle fievre wsh
12474_tweet.txt;;entre béziers toulon et om la méditerranée est bien lotie sur les rachats de clubs  franchement rené te casses pas la tête  penses à année pro avec mc court le reste est du fantasme est pas sérieux  ça arrivera pas si était sérieux ce serait déjà fait
221243_tweet.txt;;falonne  je suis déjà parano à cause de sa  en rajoute pas une couche stp
42677_tweet.txt;;ptdr en a pleins vous jugez les stmg mais je suis sûr ils vont plus réussir que vous dans la vie mdr
208317_tweet.txt;;pourquoi ils appellent ça téléfoot ça emmerde
175983_tweet.txt;;je sais ai des amis stmg tu sais c juste la honte les gens de la video
87844_tweet.txt;;oui je me doute bien  prends soin de toi quand même  tu as entièrement raison car il sera vite là
168705_tweet.txt;;nous on a spotify stats et tout à la fin de année a carrément un truc spécial et tt vous vous avez seulement un screen de vos top  artistes les plus écouté
246387_tweet.txt;;eh merci accepte et irai chez le médecin que je veux
196624_tweet.txt;;bon au début c est ans tu dit la même chose et maintenant c est ans mec tes cramer mdr
213628_tweet.txt;;hé est bon moi je les veux en fiche je les veux  
35904_tweet.txt;;suis pas sereine loin de là mais ce  est pour moi  
101674_tweet.txt;;des inventions astro meritent les aroha ont bien bosse
113246_tweet.txt;;ce soir les bucks vont se faire sweep et ça ça me met de bonne humeur
124028_tweet.txt;;ah bon est pas un gros dégueulasse ce fils de pute de 
149603_tweet.txt;;ah bah oui ca ai les mêmes doutes a ce niveau et  des  en rêve mais inaccessible financièrement  par contre aller chercher coutinho est une fausse bonne idee mdr meme si tu refiles le ptit con de guendouzi arteta a lair de plus avoir envie de coacher
39276_tweet.txt;;la sncf et le retard ça bouge pas 
87676_tweet.txt;;ça se bat super bien la aime ces bucks
248856_tweet.txt;;son pseudo epic était mange ton  ou un truc comme ça
207155_tweet.txt;;euh ai rien compris la a michael jackson dans une mosquée qui danse thiller pendant la prière et tout ça est sur netflix mais mdrrr on dirait un kamoulox
87283_tweet.txt;;apres brest ils sont pas nul non plus
171871_tweet.txt;;bousquet un encule de collabo protege par un autre gros encule deux fois president
149372_tweet.txt;;est ouf les colors je te conseille ceux des meufs parce que je les trouve meilleur en live comme ca angele billie eilish  shake 
134870_tweet.txt;;ouii mais est chiant que des personnes qui ne stanne pas astro votent pour eux
42857_tweet.txt;;les stmg vous avez toujours des gueules de darons 
61613_tweet.txt;;les charos deviennent des mecs bien un jour 
108825_tweet.txt;;au mon dieu hypocrisie à état pure elle a jamais attaqué islam rassure moi tu te fou de ma gueule là  vrai question
164321_tweet.txt;;tout les jours a lena situations en tt alors que vous aimez pas dosez un peu
3422_tweet.txt;;vendredi  septembre  twi twi twi venez mes amis twittos prendre un tweet-caféliberté egalité fraternité la plus belle devise de la france je souhaite de tout mon coeur on ajoute pas à humaniste mot fraternitéle mot sororité qui serait du séparatismefrancerelance
195193_tweet.txt;;manquerait plus que je morde moche et méchante ma beauté vic  
108429_tweet.txt;;milwaukee revient à - sans giannis et perd le match  avec giannis le monde se rend enfin compte il est surcoté et arrête de le sucer à tout bout de champ
29683_tweet.txt;;cette histoire de plaque de victor hugo quand je lis les tweets g envie de vomir entre ceux qui nous traitent de sauvages et de betes ou a des gens qui ont pas eu éducation ou des gens qui attendent la caf pour vivre  après on nous dira que la france est pas raciste
37569_tweet.txt;;as peur   est nor-mal  tout le monde a peur  mais tkt ça va aller  prends ton courage à deux pieds et saute dans inconnu   
122762_tweet.txt;;je suis claqué pas le courage attendre le match des  allez je compte sur vous les gars pour voir votre victoire au réveil 
84492_tweet.txt;;conte il veut jamais changer de compo c chiant
32700_tweet.txt;;est bien comme ça on catalogue ceux qui sont différents ou malade comme vous préférez  pfff toujours obligé de vous faire remarquer pour que vous soyez acceptés  
62154_tweet.txt;;pk vous sucez hassan la  ce chien de la casse
22860_tweet.txt;;faut quand même le dire  mutigny pancarte seul pinot suit poggio pancarte énorme seul wva suit quatre chemins pancarte gigantesque seul hirschi suit  alaphilippe a ce jump que personne a julian va au bout de la douleur comme personne 
53320_tweet.txt;;harden que il sort des grosse perf contre les lakers jspr qd même il va être éclaté ce soir
25094_tweet.txt;;allez  faites votre taff
198639_tweet.txt;;mon jeu crash avais trop de game donc çava et la je vois quoi mes points on pas compter je passe de  a  s go epic game nice
46845_tweet.txt;;westbrook c pire harden lui c une merde ya rien autre à dire un égo comme rarement on en voit bref houston c vraiment equipe que je deteste un peu comme le psg en foot
9190_tweet.txt;;obligé de sucer adama traoré plusieurs fois par jour  
206764_tweet.txt;;pierre palmade es defoncé est chaud 
146849_tweet.txt;;wesh déjà quand le rer b il bloque entre st michel et châtelet min je craque alors là h est trop la sncf vous allez remboursez le temps aux voyageurs du en cash  mrtzorlo
182311_tweet.txt;;ça a saucé de ouf dans mon dos si je pouvais je serais en train de rougir
198211_tweet.txt;;pourquoi tu te gênes même  ko faux coin odienné peut ell se comparer à kgo
3792_tweet.txt;;jessica elle fait trop de manières 
140887_tweet.txt;;vous êtes vraiment culottés ici vous osez dire ouais ils occupent de faire monter leur fav au lieu de descendre ceux des autres mais vous créé des listes pour créé des fanwars soit disant parce que des fandoms ce sont ligues contre bts pour que astro gagne 
248706_tweet.txt;;offre lui son maillot  fais pas ta fine bouche le cm 
248422_tweet.txt;;elles viennent encore de nous sortir un bop que dire  je crois que ai enfin trouvé ma chanson été elle enjaille de fou 
138084_tweet.txt;;ya des armys qui envoient des menaces de mort aux arohas parce que astro à gagner et pas bangtan  est quoi votre problème putain
175431_tweet.txt;;ils ont rajouté de la moquette et ils ont pris une photo un jour ensoleillé et est du glow up jsuis explosé 
245245_tweet.txt;;les gens compare wejdene à riri wsh réveillez vous non a aucune comparaison possible
75457_tweet.txt;;pose toi les bonnes questions kappa
225457_tweet.txt;;ahlala vous faites chiez avec wejdene ai même plus envie aller sur twitter et tik tok a cause de sa
56504_tweet.txt;;nouveau clip de ouaiche suis vautrée é é  
221040_tweet.txt;;ouii tu peux calculer le tiens pour cette année avec ta nouvelle charte 
25555_tweet.txt;;louis drapeau français mdr
210232_tweet.txt;;mdrrr bleu ciel oyer couleur sugu djoumei yer prck moi je connais pas les noms 
140464_tweet.txt;;oui voilà top  mais ballon or est mort
181479_tweet.txt;;enfaite si vous parlez pas de tootatis ou wejdene un jour vous mourrez sayez wsh on en blc
205788_tweet.txt;;et à lady gaga mm si je appréciais un peu mme blackface la
36788_tweet.txt;;l vlogs de lena c sorti prsn a prévenue heureusement a fatou 
227655_tweet.txt;;jsuis sure au debut elle va etre a harvard trkl et la elle va découvrir que marco il est aussi à harvard
208006_tweet.txt;;avec lacazette en  ou ozil non franchement est danger
147973_tweet.txt;;vos mentalité sont vraiment  on pourrait pas plutôt soutenir nos favs et chacun est respectueux des autres  nan biensur rester dans vos mondes 
