Column1;Column2;Column3
181391_tweet.txt;orthographe;"@XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX Incapable de donner la définition du mot ""geremiades"" que tu as écrit mais, premier à critiquer l'orthographe et l'expression française des autres.. ?? Tu t'énerves ? Pas bon à ton âge ??"
112929_tweet.txt;langage ;@XXX @XXX Au contraire leurs slang est incroyable gros, le langage >>>
137790_tweet.txt;on dit;@XXX Ah voilà j'ai répondu pareille on m'a pris pour une fadade chez nous on dit Yeti ??????
194350_tweet.txt;on dit;@XXX @XXX @XXX Oh pauvre bête biquette, pas contente parce qu'on dit la vérité sur la racaille assa Traoré et tte sa famille de délinquants?! #AdamaVioleur #stopalaracailleassatraore
108087_tweet.txt;on dit;@XXX La juge est décédé ou quoi c'est n'importe quoi il a pas fais exprès quand djoko casse c raquette on dit rien la juge de ligne abus ×3000
207460_tweet.txt;on dit;La chose chelou avec histoire de Ademo c’est que bcp de média ou personne de la télé on dit bien fait pour lui ect l’ont fait passer pour un bandit mais quand c’est d’autre personne connu y’a pas ça la raison ? Bah il donne pas son cul au média
19287_tweet.txt;le mot;Vous soûlez les army's (pas toutes Nan parce que yen a vous allez venir prendre la défense) arrêtez juste stop vous comprenez pas le mot stop ? Astro est un groupe pas autant connu que bts, vous êtes pas contente car bts n'est pas first au soba mais stop url_path
230920_tweet.txt;orthographe;Les profs ils vont nous regarder comme ça quand ils verront le niveau d orthographes certains #RENTREE2020 url_path
218894_tweet.txt;le mot;Ptn j’ai masqué le mot wejdene y’en a ils écrivent wedjene wsh comment tu veux faire
110401_tweet.txt;orthographe;@XXX @XXX @XXX @XXX il fait pas autant pitié que ton orthographe
107486_tweet.txt;le mot;@XXX @XXX Dégouté du départ de @XXX qui avait toujours le mot juste en sachant rester humble. Il reste que des cloches comme le dindon dickens, la mytho lefebvre, le bafouilleur maillot, la perchée dumont, l'anar liebig, la vieille bitan, la paumée dago-serry, l'ado lledo, etc #ggrmc
196147_tweet.txt;orthographe;@XXX @XXX @XXX Bon jte bloque car tu taille l orthographe alors que toi meme fais des fautes
218310_tweet.txt;on dit;@XXX @XXX @XXX @XXX @XXX @XXX @XXX Bon allez à 3 on dit tous une dernière fois #AdamaVioleur et on arrête tous d'accord ? 1...2...3... #AdamaVioleur Voilà c'est bon
33137_tweet.txt;le mot;J’en ai vraiment marre de voir tous ces commentaires sur Westbrook, je songe à cacher le mot sur Twitter parce que bordel ça fait des années que vous devriez comprendre que c’est un joueur capable de sortir un 35-15-10 a 60% ou un 12-6-2-9TO a 25% d’un joueur à l’autre.
220536_tweet.txt;on dit;@XXX @XXX @XXX @XXX LOOOOOOL, c’est connu les suceur de tootatis c’est tout s que vous avez à la bouche on dit des vérités et des chose logique sur votre queen, vous parler de frustration et de jalousie, aller pense ce que tu veux cela m’empêcherais pas dire la vérité tu perd ton temps avec moi
110074_tweet.txt;le mot;Ya des gens aui utilisent encore le mot « kappa » en 2020 et ca c’est pas acceptable
74487_tweet.txt;on dit;@XXX jveut trop visiter roubaix pr voir c’si c guez comme on dit
14232_tweet.txt;le terme;"#GGRMC et voilà!!!! Liébig qui comme d'hab ramène sa gueule à mauvais escient!! en disant n'importe quoi pour défendre les Racailles !!moi je ne les appellent pasavec le terme général ""jeunes"" car il existe des jeunes(de moins en moins) qui sont civilisés!!??????????????????"
29881_tweet.txt;ON DIT;@XXX JE PARLE DES GENS QUI ONT TAILLER ADELE LES GENS QUI ON DIT DE BOYCOTTE DOJA MAIS QUI ON PAS OUVERT LEURS BOUCHES CE SOIR LA c’est bon comme ca sa rentre mieux dans ta tete ?
63799_tweet.txt;on dit;C'est comme quand on dit : Liebig con comme ses pieds ! C'est une image ... ?? #ggrmc @XXX
40708_tweet.txt;Le mot;RT @XXX: Le mot de passe c’était « c’est moi » mdrrr avec ça t’ouvrais clairement toutes les portes
239389_tweet.txt;le mot;@XXX En plus le remaster de Mario galaxy nous prouve que le motion gaming de la wii est possible avec les joy cons. Donc SS Hd on t'attends !^^'
229001_tweet.txt;on dit;@XXX @XXX Mdr il on dit d’eux fous tu sais lire ? Danilo c’est une fois
155774_tweet.txt;le mot;La réaction de Éric est épique. Il a rien compris. Sonné c'est le mot juste. Il pensait que ça avait sonné et que le shoot était beaucoup trop tard il a rien pigé mdrr #NBAextra
214375_tweet.txt;on dit;selon mon signe astro, jsuis « impulsive », « impatiente » et « trop franche », jvois pas du tout pq on dit ça, c absolument pas moi ça lol
240804_tweet.txt;LE MOT;C’est maintenant j’y pense aussi mais là, ça se trouve ils sont en train de chialer...EH J’SUIS FIÈRE D’EUX ! ET ENCORE LE MOT FIERE N’EST PAS ASSEZ PUISSANT.???? #Billboardhot100 #JungkookDay #BTS_Dynamite #BTSDynamiteNo1Hot100 #BTS1onBBHot100 #????? #BTS url_path
31324_tweet.txt;on dit;Comment Christina a clashé Raïssa ptdddrrrr je suis dead elle a dit on dit même plus swag mais frere c une meuf de Troyes c le moyen âge encore là bas, qui dit swag en 2020 encore ?????????????? #LRDS
164123_tweet.txt;le mot;Bon j'vais pas préco le Mario là. Concrètement j'attend que nintendo montre comment Galaxy va fonctionner sans le motion control, apparemment c'est optionnel mais d'autres disent que y'en aura quand même pour le pointeur etc... j'attends de la clarification
149948_tweet.txt;on dit;Non @XXX on dit pas déchirement ??????????de jean.. mais déchirures!! Lol #lrds ?????????
63100_tweet.txt;langage ;La famille de l'exe à Hassan elle me dégoûte quel langage c'est dégueulasse en + ils parlent mal des Marocains alors que y'a 0 rapports avec l'histoire franchement certaines familles éduquez vous
210839_tweet.txt;on dit;-- Qui croyvait on dit truchiotte !!???? #GGRMC
145722_tweet.txt;on dit;@XXX Pas de sous qu'on dit pas de souse = pas de souci
191750_tweet.txt;on dit;Ceux qui disent mister freeze je vous déteste on dit yéti bande de merde
53959_tweet.txt;on dit;@XXX Viens pour Michael Jackson, on dit  Les Gris ils aimaient trop critiquer...  ??????
36739_tweet.txt;on dit;@XXX @XXX @XXX « Ani nheb a flash » « a flash » il est en Angleterre ton Algérie mdr ? Azy yéti c’est la marque principal la base c’est comme les yaourts on dit souvent danone alors que Danone c’est une marque.
185996_tweet.txt;on dit;C'est bien se que l'on dit le pinard devrait être obligatoire !!??????#GGRMC url_path
220613_tweet.txt;le mot;#MonPireDate en décembre dans un parking avec le moteur arrêter donc pas de chauffage et il a allumer son tarpé devant moi ??
88739_tweet.txt;on dit;@XXX Tout Marseille le sang on dit des Yéti
245169_tweet.txt;orthographe;@XXX @XXX @XXX Tu fais encore plus pitie parce que quand qq s attaque a l orthographe d un mec dans une conv sur un reseau rempli d insulte c comme si il avouer qu il avais tord et qu il ete ma chienne
260481_tweet.txt;orthographe;@XXX Mais arrete de faire le mec au dessus tu t en prend a l orthographe alors que la tienne n est pas bien non plus arreter de t afficher
21901_tweet.txt;le mot;RT @XXX: @XXX Deja le mot Beurette lui meme il est raciste et rabaissant et eux il en rajoute
209509_tweet.txt;on dit;@XXX Le plan tu fait comme skt’etait un fan de feu si tu va le voir tu demande une photo je lui envoie un Pierre dans la nuque hop k.o on vol si tel on dit a wejdene de venir on la kidnappe et on la mange dans une cave
257134_tweet.txt;on dit;"Vous entendez mes pleures ??demain on ferme l'era Teasure avec Answer qui a marqué grandement les esprits ! J'oublierais jamais mdrr ""bulleo bulleo..."" ?,5ème comeback de folie, mtn on dit Bonjour au 6ème avec une nouvel Era encore plus folle ??  #ATEEZ   url_path"
123196_tweet.txt;le mot;Kaaris l'avait dit son feat avec Bosh est plus sale que le mot sale lui-même et suis pas déçu ya pas de mot pour décrire ce kickage de malade. Tu es fort viep roi de Sevran,  empereur de la trap
14850_tweet.txt;le mot;@XXX @XXX Déjà pq j'ai mis le mot salope dans ma phrase c pas logique ??
179577_tweet.txt;le terme;@XXX On va tous mouriiiiiiiir ???????? déjà le terme infecté faut arrêter..ces personnes sont juste asymptomatiques et ne sont absolument pas malades BDM #Covid_19 #PSG
254556_tweet.txt;on dit;@XXX AHHHHH oui car en + y'a la porte de la tombe du doctor qui s'ouvre seulement si on dit son prénom
52580_tweet.txt;On dit;@XXX T'es de Marseille et tu dis mister freeze ? C'est les parisiens qui disent ça  On dit Yeti wesh
196772_tweet.txt;le mot;Jv masquer le mot psg.
220462_tweet.txt;on dit;Je comprends que vous pensez que c'est Kihou qui dit la verité mais calmez la votre pote elle est raciste clairement dans sa story elle dit 'wallah comme on dit chez toi' et la elle fait clairement appel a l'imaginaire de l'homme maghrebin de cité violent #lena #Maroua #kihou
148760_tweet.txt;le mot;Marvin je l’adore déjà wesh quelle star quelle classe quelle motivation #LMvsMonde5
255056_tweet.txt;le mot;"@XXX ?????? ""moutons"" le mot employés partout et c'est moi le mouton ?????? ça me fume on voit bien que tu viens de stmg toi"
60973_tweet.txt;le mot;Le feat avec Bosh c’est une patate douce et ce batard il nous a dit « mm le mot sale c’est propre » ????
35301_tweet.txt;le terme;@XXX j’essaie de leur expliquer ça sans sortir le terme mais iels captent pas ????????
94513_tweet.txt;on dit;@XXX @XXX @XXX @XXX Mais personne dis ça dans le sud a part une toute petite petite majorité d'un ptit village peut être mdrrrr sinon on dit tous mister freeze
15375_tweet.txt;le mot;@XXX Je veux pas dire mais Victor Hugo en a rien à fouttre ????je pense qu’il faudrait rebaptiser les noms en chiffres. J’habite au 100 rue 1280. Pis la France aussi, faudrait l appelée pays 3 parce que dire le mot France ou mettre un drapeau à la fenêtre ça va devenir raciste d’ici p
125863_tweet.txt;on dit;On est là on dit « Oui Liverpool ils ont plus rien à jouer demain on va les taper » ptdr attend stop y’a plusieurs solutions
72975_tweet.txt;le mot;@XXX @XXX @XXX Mais ptdr  Si j’ai envie de Rajouter mon grain de sel je le rajoute, t’as pas à me dire «  d’arreter de faire le perroquet » pratiquant tu dis ? Et tu parles comme ça ? Revois tes priorités ????????? Tu connais pas qu’est ce qui est le mot « Sagesse »  #JESUSESTDIEU
5276_tweet.txt;on dit;@XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX Je pense qu’on dit tous la même chose là, plusieurs stats donneront une meilleure appréciation qu’une seule, y’a pas de débat là-dessus ??  D’ailleurs fameuse phrase de Gilbert Brisbois : « les stats c’est comme les minijupes, ça donne une idée mais ça ne montre pas l’essentiel »
118177_tweet.txt;le terme;@XXX Y'a même pas une enflure de petit Plenel qui signe ces articles de merde au @XXX  ?  ah si , le rédac chef adjoint @XXX , donc, qui poursuit l'oeuvre de son mentor Krasny . Il ne manque que le terme de rafle , ça sera pour le prochain épisode de merde
180657_tweet.txt;on dit;@XXX Truc de fou à chaque fois que je dis à qlq qu'il ou elle est beau on dit le contraire jpleure
98158_tweet.txt;On dit;RT @XXX: On dit souvent que les stmg c’est les classes des zeub mais perso celle de mon lycee non
153914_tweet.txt;le terme;C'est le terme du FN Voilà pourquoi on n'avance pas sur les sujets graves dans ce pays. On se bat sur les mots utilisés... Il est dingue ce type ma parole #GGRMC
15064_tweet.txt;le mot;Comme quoi on peut avoir le mot science dans son @XXX et être un gros demeuré. #Covid_19 #ANALYSE url_path
99689_tweet.txt;on dit;RT @XXX: @XXX Ah voilà j'ai répondu pareille on m'a pris pour une fadade chez nous on dit Yeti ??????
86689_tweet.txt;le mot;Mon frère demain il a sa rentrée avec l’équipe de france ca fait 1h mon rep il lui fait la morale et le motive
168973_tweet.txt;on dit;@XXX les goûts et les couleurs comme on dit hein perso nct j’accroche pas donc ??????? pour moi ça reste itzy, got7, astro et ateez
259792_tweet.txt;On dit;On dit les teubé sont le Fc Snap, mais Twitter c'est de pire en pire! Dites vous ça va faire 2 jours, que des individus perdent leurs temps à comparer Rihanna et Wejdene wesh
211328_tweet.txt;on dit;@XXX Ah on dit LA ratait trop oooh  je pense pas qu’on ira au Game 7 ( ma surprise reste les Heats 3-0 ) ?????? si les Bucks peuvent être éliminés ça me va et idem pour les clippers
98925_tweet.txt;le mot;mouais kaaris bosh ça l'a hypé de fou en mode sale même le mot sale est propre pour ce qu'on a fait. bah il mérite pas cette hype malgré qu'il est pas mauvais.
109789_tweet.txt;le terme;@XXX @XXX @XXX @XXX @XXX Et puis pour la Shoah tu feras gaffe, c'est le pays d'à côté qui l'a faite : l'Allemagne nazie d'Hitler. Celui là est certainement le plus connu (le 2e étant le genocide arménien) et c'est après ce génocide que l'ONU a créé le terme de génocide et en a donné la définition
132650_tweet.txt;on dit;quand on dit « manon est jalouse de carla » c’est pck a un comportements de meuf pas heureuse pour ses amies #Lmvsmonde5
21111_tweet.txt;on dit;@XXX Abuse?? moi aussi du sud et marseille on dit yeti??
11137_tweet.txt;on dit;@XXX James Harden a passé le 1er tour il se fait massacrer alors qu’il a gagné ! Lebron mdr cst tous les jours  Giannis on dit rien  On dit le coach il le fait pas jouer assez  On dit il est en 21/16/7  Il y a quelques vannes cst tout Alors qu’il est nuuul
140029_tweet.txt;le mot;Mon équipe c'est le moteur, sans elle j'aurais aucun kilométrage, l'important c'est d'marquer le but pas de savoir qui le mettra url_path
26099_tweet.txt;orthographe;@XXX @XXX @XXX @XXX Le mec il a 6 ans et il a un orthographe de 3 ans et il parle d'argumentation jpp
13247_tweet.txt;on dit;Ta vu ? Oui on dit pas que astro mérite pas, wallah ils méritent, j’aime bien leur son etc et ça se voit ils sont investi les membres, mais y’a quand des matrixe de d’autre fantôme qui ont votent juste pour faire perdre bts et non pour le talent de astro quand même ? Zerma si -> url_path
106925_tweet.txt;on dit;@XXX @XXX Normal. Bordel dans le Sud on dit chocolatine !
258403_tweet.txt;on dit;@XXX Ici au Quebec on dit blonde comme genre copinem
51536_tweet.txt;on dit;#GGRMC Soubre est en train de s embrouiller dans ses dires ,évidemment quand on dit des conneries !
40217_tweet.txt;le mot;@XXX Pirouli c’est le mot de base genre, après ya les marques comme mister freeze yéti et tout ça
255389_tweet.txt;orthographe;@XXX @XXX @XXX Frero l orthographe jmen tape le coquillard mdr
245482_tweet.txt;on dit;Les clichés sur le stmg que j’avais en arrivant en seconde j’ai changé de lycée et c’est bien vraies ce qu’on dit mdrrr
233652_tweet.txt;on dit;RT @XXX: Qiand on dit cheveux long c’est à la Leonardo DiCaprio des 90’s pas djadja et dinaz
212958_tweet.txt;le mot;Ils comparent des marques de voitures ils savent même pas rajouté de l’huile moteur c’est grave très grave url_path
207858_tweet.txt;on dit;Je me demande si dans tous les pays on dit LE #COVID19 et s'il n'y a qu'en FRA comme des ploucs qu'on dit LA ?  Le pire c tous ces journalistes et autres médecins ou consultants qui suivent tels des moutons cette abération. #HDPros #GGRMC #CNews #RMC #BFMTV #Punchline #rmclive
154599_tweet.txt;Le mot;@XXX @XXX Faites ce que je dis et pas ce que je fais. Le mot d'ordre de tous ces enfoirés qui pensent que parce qu'ils sont élus, ils peuvent piquer dans la caisse. #Beziers Robert Ménard url_path
89823_tweet.txt;on dit;@XXX @XXX comme on dit c’est les plus gênés qui s’en vont, les homos te gênent ? bah casse ta mère c’est simple
77971_tweet.txt;le mot;Jcrois jvais masquer le mot Wejdene et Rihanna pcq là jpp de voir ça
217309_tweet.txt;on dit;Y’a un débat sur ça sérieux, on dit mister freeze depuis le 1er siècle wsh url_path
176369_tweet.txt;on dit;@XXX Je crois y a qu'a Marseille qu'on dit des yeti
203020_tweet.txt;le mot;Kaaris il a appris le mot « moulaga » que il le répète il est fan de heuss ou quoi ?
144766_tweet.txt;le mot;"Vous pouvez continuer à faire une fixette sur Westbrook qui est en travers, mais c'est un putain de fighter, alors le mot ""pathétique"" est en trop.  nbaextra"
175743_tweet.txt;le terme;#NBAextra Ils sont poisseux en défense les raptors, ouaip c'est le terme : poisseux !!!
129046_tweet.txt;on dit;RT @XXX: @XXX hassan il le dit trop sur le ton de la rigolade et madi marine sirine on dit tous et vous croyez encore hassan
216536_tweet.txt;on dit;@XXX @XXX @XXX Toi va te faire foutre on dit Yeti dans le sud qué mister freeze
195019_tweet.txt;langage ;Le langage de l’Argent seulement.  Devenir millionnaire, c’est seulement une question d’mentalité.  Vous voulez pas être pauvres ?  N’pensez pas comme des putains d’pauvres.  Bon j’sucerais bien Jeff Bezos moi. url_path
125413_tweet.txt;LE MOT;je viens de régler le problème de ps4/epic games/fornite j’ai envie de mourir LE COMPTE ÉTAIT CONNECTÉ SUR UN GMAIL DONT PERSONNE N’A LE MOT DE PASSE ?? JE SUIS SUPPOSÉ FAIRE LES CONNEXIONS COMMENT MOI
181159_tweet.txt;orthographe;@XXX @XXX @XXX @XXX @XXX @XXX Alors l'abruti de service, relever une faute sur un nom propre avec mon t9 qui corrige ...  J'ai eu le plaisir de regarder tes tweets, fautes d'orthographe  et de grammaire à gogo ...
37997_tweet.txt;on dit;Y'a mon pote qui me demande pourquoi on dit Giannis est jne star ? #NBAPlayoffs
238214_tweet.txt;le mot;@XXX @XXX antisémites haaaa le mot magique ! ! ! a t'on vérifié que Dieudonné n'est pas dans le coup ??
129519_tweet.txt;On dit;RT @XXX: On dit des Mister Freeze ya 0 débats.  Par contre, j'ai demandé à un pote il m'a sorti des petits filous ??
96940_tweet.txt;le mot;@XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX Encore une fois je suis impatient de voir le motif de harcèlement pour répondre à des tweet! Il ne répondrait pas et bon encore vu l intelligence de ces messages je doute que quiconque qualifie ça de harcèlement. Mais s il a porté plainte! La procédure abusive peut nous amuser!
105602_tweet.txt;le mot;@XXX @XXX @XXX @XXX @XXX @XXX Infâmes, c'est bien le mot pour qualifier les soutiens et la complaisance dont le pédophile #Matzneff a bénéficié pendant des décennies au sein d'une certaine intelligentsia parisienne...
249910_tweet.txt;on dit;@XXX @XXX Il on dit deux fois t’es con ou quoi Danilo n’a gagné que la liga la pl et seri a un e fois putain t’es trop con
212058_tweet.txt;On dit;On dit de Kevin mais tanti c’est pas un saint avec les Liam les montaine et les bisous pendant les jeux dés problèmes il a fait les Meme trucs de Kevin Il s’est  mis en couple avec d’autres pendant les multiples séparations d’avec Manon. Manon à la mémoire sélective #LMvsMonde5
137467_tweet.txt;le mot;@XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX Je ne suis pas d'accord : rien ne justifie le racisme. Quel que soit le motif qu'invoque un raciste pour justifier ses préjugés il a tort, que ce soit un raciste comme @XXX ou un raciste comme Gobineau.
236583_tweet.txt;on dit;@XXX C'est des glaces à l'eau mais on dit tous mister freeze
160159_tweet.txt;on dit;pour informer quelques gens on dit LA covid :) #MasqueObligatoire #masquesObligatoires
66396_tweet.txt;le terme;Par conte le terme efficace dans les débats rap est l'un des pires qui existe mdr
219066_tweet.txt;le mot;@XXX @XXX @XXX @XXX @XXX Mais mdr du coup si c’est vraiment des juifs, tu penses que le mot « juif » en tt c’est raciste  D’ailleurs dans les tendances francaises ya rien en rapport avec les juifs a part une meuf qu’a survécu a la Shoah qui est morte mais tu veux faire croire qu’on est raciste
90035_tweet.txt;On dit;On dit donnez des ballons à Rudy donnez des ballons à Rudy mais il est pas foutu de les attraper et de les mettre dans le panier !!! ?? #NBAextra #nba #JazzvsNuggets
24030_tweet.txt;on dit;@XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX Elle s'appelait Axelle et pour la racaille responsable avec mercedes etc on dit pudiquement jeunes gens moi je veux les prénoms !!!!
359_tweet.txt;on dit;@XXX hassan il le dit trop sur le ton de la rigolade et madi marine sirine on dit tous et vous croyez encore hassan
262477_tweet.txt;on dit;@XXX Mmdrrr arrêtez  d’inventer des noms c’est mister freeze on dit tous ça
142441_tweet.txt;le mot;@XXX en genre c’est si le mot va dans la phrase sinon c’est er?
214275_tweet.txt;on dit;Même Léna et moi on dit pas ça url_path
159744_tweet.txt;on dit;@XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX Mais c'est vous qui avez parlé de bigpharma :D Nous on dit juste que aujourd'hui, si quelqu'un y gagne c'est ceux qui vendent de HCQ, c'est tout. Après personne n'affirme que le but c'est d'enrichir Sanofi, il faut juste être cohérent avec la réalité.
206831_tweet.txt;le terme;????j'adore #DidierGiraud !Là ça claque autant que le terme employé par le pédophile,allez,vive ???? profonde,vive nous,va!#GGRMC
117109_tweet.txt;le mot;@XXX Quand jpense au putain de mario 64 avec le moteur de odyssey qu'on aurait pu avoir, en vrai y a toujours moyen vu que c une version limitee
260768_tweet.txt;orthographe;@XXX @XXX @XXX @XXX Y a que les tdc pour critiquer l orthographe sur les reseau mdr
13444_tweet.txt;orthographe;@XXX Ah ouai l'orthographe en ligne... Kappa ??(btw 0 fautes)  Pas soucis tu fais bien ce que tu veux au final ??
39873_tweet.txt;le mot;tgv8538  sncf  train  limousin bon je suis avec  clairefglt dans un train direction Limoges SAUF que le train a foncé dans une fucking caisse car il y avait des gens qui bricoler la voie. Une vitre est brisée et le moteur à côté de nous fume bcp !!!!!  OMG  cgolri  onvamourir
211676_tweet.txt;langage ;#LRDS c'est benga benga c'est encore quoi ça ce langage de connasse
225899_tweet.txt;on dit;@XXX @XXX @XXX @XXX Ptdrrr en meme temps quand il perd ca sert à rien, on dit ca parce que l’équipe est bcp moins forte Harden est très fort on le sait tous mais bon la grande confrontation on dit merci Westbrook pas Harden
220553_tweet.txt;orthographe;@XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX Vous perdez votre temps avec cette jeune femme, à part ses vannes pourraves sur l’âge aucun argument valable. Et l’orthographe j’en parle pas...
70827_tweet.txt;le mot;"Les refoulés du cul qui se lâchent sur un # avec le mot ""souiller"" parce qu'ils pensent que le sexe c'est sale, on vous voit ??  #SouilleUnTitre url_path"
212548_tweet.txt;on dit;"@XXX THANKS !!! Finally someone say it !!! Je suis dégoûté de savoir que quand on dit ""lady gaga"" tout le monde imagine poker face et bad romance alors qu’à côté il y a venus et G.U.Y qui sont milles fois mieux que personne cala !!!!"
20365_tweet.txt;On dit;@XXX @XXX @XXX @XXX @XXX On dit juste qui a l’argement ça place dans le top 5
149709_tweet.txt;on dit;@XXX @XXX À Marseille on dit yéti mtn je sais plus ??????
231175_tweet.txt;le mot;@XXX non la c’est chaud wsh tu connais pas le mot frérot ?
43420_tweet.txt;on dit;Somi gfriend sunmi et hwa*a on dit summer bop mais avec élégance et excellences ?????
116186_tweet.txt;on dit;@XXX @XXX Je m'en tape complètement moi, Mais certains je dit bien certain fans de d'autre fandom sont rester sur l'app pour eviter que les army vote, certain fan de astro leurs on dit d'arreter mais félicitations à astro quand même
187232_tweet.txt;on dit;par contre ya un truc que je comprends pas, quand on est en maillot et qu’on voit notre cul on dit rien mais quand on est short « court » on s’en prend plein la gueule
144355_tweet.txt;le mot;@XXX @XXX @XXX Par contre vous pouvez arrêter avec le mot blanc. Ça me met mal à l'aise à chaque fois et jm repete c est le frigo qui est blanc.
187876_tweet.txt;le mot;"@XXX @XXX @XXX @XXX @XXX Joue pas sur le mots quand t'es pas foutu de lire...  ""Proche"" ""autonome"""
268493_tweet.txt;le mot;"Vous parlez de ""patate"" mais ""pomme de terre"", c'est quand même mieux ! #patate RT @XXX: Le feat avec Bosh c’est une patate douce et ce batard il nous a dit « mm le mot sale c’est propre » ????"
116929_tweet.txt;on dit;@XXX c'est sur que si quand on dit rap feminin on pense wejdene je pense que y'a une certaine volonté de nuire
63840_tweet.txt;orthographe;@XXX Tu me traite de con alors que tu critique l orthographe sur un reseau social mdrrr
208251_tweet.txt;orthographe;c moi ou sur tt les tiktok d’astro y’a au moins une faute d’orthographe sur un signe ?
113978_tweet.txt;on dit;RT @XXX: @XXX Mdrrrrr à marseille on dit yéti @XXX
200023_tweet.txt;langage ;"Les musulmans, quand vous voyez ça et les ""wallah"" & ""au nom de dieu"" qui vont avec alors qu'ils sont entrain de dépouiller un pauvre mec (Hassan) qui travail, ça ne vous fait rien?  ""wallah"" ce n'est plus un serment religieux, c'est un tic de langage pour les délinquants. url_path"
75922_tweet.txt;on dit;@XXX A Marseille on dit yéti
154157_tweet.txt;orthographe;@XXX @XXX @XXX Mdrrr tu te met à bien écrire seulement après m'avoir taillé sur mon orthographe ta pas honte?
227323_tweet.txt;on dit;oui mais comme on dit, grosse machine, petite hi hi hi #rmclive
115969_tweet.txt;on dit;RT @XXX: quand on dit « manon est jalouse de carla » c’est pck a un comportements de meuf pas heureuse pour ses amies #Lmvsmonde5
181983_tweet.txt;le mot;RT @XXX: Les bacs pro qui taillent les stmg alors eux le mot culot a été créé pour eux
82658_tweet.txt;orthographe;@XXX @XXX @XXX Sauf que je parle pas de l'orthographe, fait un effort... Tu fais pitié là
14709_tweet.txt;on dit;@XXX @XXX @XXX @XXX @XXX @XXX @XXX Bon écoute si tu et la c'est que tu sais lire y'a 2 autre personne qui me l'on dit merci de ne pas en rajouté une couche
17758_tweet.txt;le mot;@XXX @XXX Tu ne peut pas faire allusion qu’être un lâche et un suceur c’est dans les gênes ? Absolument vouloir coller cette phrase sur le mot « marocain » pour que tu t’obtiennes une vérité ? C’est incroyable
225171_tweet.txt;on dit;"@XXX @XXX @XXX @XXX @XXX @XXX Nan mdrr dans le sud on dit ""MISTER FREEZE"" y a pas de débat à avoir avec pirouli"
264101_tweet.txt;on dit;@XXX @XXX @XXX mais nique ta tante à toi comme ça du sud on dit mister freeze grand malade ton sud de wish
124387_tweet.txt;le mot;Bon Hamilton go abandonner direct la autant conserver le moteur
